ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"117.241.135.33","elite","AS9829","IN","BSNL Internet","197","N/A","5678","socks4","1171","1","2023-02-06T05:08:54.780Z","98","974","991"
"172.98.21.180","elite","AS7018","US","AT&T Services, Inc.","85","Bunny Technology LLC","10001","socks4","1364","1","2023-02-06T05:08:54.364Z","97","905","929"
"109.110.82.245","elite","AS35816","UA","Lancom Ltd.","80","Lancom Ltd","5678","socks4","1240","1","2023-02-06T05:08:53.943Z","100","986","990"
"198.98.49.197","elite","AS53667","US","FranTech Solutions","73","FranTech Solutions","30346","socks4","1340","1","2023-02-06T05:08:53.966Z","100","954","955"
"162.12.217.9","elite","AS394648","FR","Weelax","107","Weelax","3629","socks4","1251","1","2023-02-06T05:08:53.942Z","99","981","987"
"119.15.89.87","elite","AS24492","KH","WiCAM Corporation Ltd","192","WiCAM Corporation, LTD","5678","socks4","1301","1","2023-02-06T05:08:53.118Z","96","954","992"
"51.210.182.122","elite","AS16276","FR","OVH SAS","5","OVH","7497","socks5","1349","1","2023-02-06T05:08:53.971Z","99","963","968"
"124.41.240.177","elite","AS17501","NP","WorldLink Communications","1479","Wlink Static ENT KTM V1115","52480","socks4","1311","1","2023-02-06T05:08:53.117Z","94","934","992"
"91.234.227.135","elite","AS42174","UA","Sipcom Ltd.","50","Sipcom Ltd","5678","socks4","1371","1","2023-02-06T05:08:53.543Z","79","740","932"
"138.36.196.11","elite","AS264586","BR","Speed Telecomunicacoes","189","Speed Telecomunicacoes","4153","socks4","1195","1","2023-02-06T05:08:53.570Z","100","985","987"
"163.53.204.178","elite","AS58898","IN","Rainbow communications India Pvt Ltd","234","Rainbow communications India Pvt Ltd","9813","socks5","1267","1","2023-02-06T05:08:53.575Z","97","938","970"
"75.119.202.104","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","32524","socks5","1179","1","2023-02-06T05:08:53.945Z","100","973","973"
"202.43.191.10","elite","AS131111","ID","CEPATNET","171","N/A","5430","socks4","1304","1","2023-02-06T05:08:53.941Z","98","976","991"
"167.172.178.242","elite","AS14061","DE","DigitalOcean, LLC","25","DigitalOcean, LLC","7497","socks5","1361","1","2023-02-06T05:08:53.971Z","100","908","908"
"184.178.172.5","elite","AS22773","US","Cox Communications Inc.","142","Cox Communications Inc.","15303","socks5","1359","1","2023-02-06T05:08:53.149Z","100","897","898"
